campaign_id,content_id,channel,variant,utm_id,utm_source,utm_medium,utm_campaign,utm_content,landing_url,tracked_url
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,email_nurture,challenger,stage3-cnt-exp-opportunity-opp-001-04,email_nurture,email,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=email_nurture&utm_medium=email&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_challenger
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,email_nurture,control,stage3-cnt-exp-opportunity-opp-001-04,email_nurture,email,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_control,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=email_nurture&utm_medium=email&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_control
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,linkedin,challenger,stage3-cnt-exp-opportunity-opp-001-04,linkedin,paid_social,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=linkedin&utm_medium=paid_social&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_challenger
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,linkedin,control,stage3-cnt-exp-opportunity-opp-001-04,linkedin,paid_social,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_control,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=linkedin&utm_medium=paid_social&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_control
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,organic_search,challenger,stage3-cnt-exp-opportunity-opp-001-04,organic_search,organic,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=organic_search&utm_medium=organic&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_challenger
stage3-cnt-exp-opportunity-opp-001-04,cnt_exp-opportunity-opp-001-04,organic_search,control,stage3-cnt-exp-opportunity-opp-001-04,organic_search,organic,stage3_stage3-cnt-exp-opportunity-opp-001-04,cnt-exp-opportunity-opp-001-04_control,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-001-04&utm_source=organic_search&utm_medium=organic&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-001-04&utm_content=cnt-exp-opportunity-opp-001-04_control
stage3-cnt-exp-opportunity-opp-003-04,cnt_exp-opportunity-opp-003-04,email_nurture,challenger,stage3-cnt-exp-opportunity-opp-003-04,email_nurture,email,stage3_stage3-cnt-exp-opportunity-opp-003-04,cnt-exp-opportunity-opp-003-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-003-04&utm_source=email_nurture&utm_medium=email&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-003-04&utm_content=cnt-exp-opportunity-opp-003-04_challenger
stage3-cnt-exp-opportunity-opp-003-04,cnt_exp-opportunity-opp-003-04,email_nurture,control,stage3-cnt-exp-opportunity-opp-003-04,email_nurture,email,stage3_stage3-cnt-exp-opportunity-opp-003-04,cnt-exp-opportunity-opp-003-04_control,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-003-04&utm_source=email_nurture&utm_medium=email&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-003-04&utm_content=cnt-exp-opportunity-opp-003-04_control
stage3-cnt-exp-opportunity-opp-003-04,cnt_exp-opportunity-opp-003-04,linkedin,challenger,stage3-cnt-exp-opportunity-opp-003-04,linkedin,paid_social,stage3_stage3-cnt-exp-opportunity-opp-003-04,cnt-exp-opportunity-opp-003-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-003-04&utm_source=linkedin&utm_medium=paid_social&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-003-04&utm_content=cnt-exp-opportunity-opp-003-04_challenger
stage3-cnt-exp-opportunity-opp-003-04,cnt_exp-opportunity-opp-003-04,linkedin,control,stage3-cnt-exp-opportunity-opp-003-04,linkedin,paid_social,stage3_stage3-cnt-exp-opportunity-opp-003-04,cnt-exp-opportunity-opp-003-04_control,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-003-04&utm_source=linkedin&utm_medium=paid_social&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-003-04&utm_content=cnt-exp-opportunity-opp-003-04_control
stage3-cnt-exp-opportunity-opp-003-04,cnt_exp-opportunity-opp-003-04,organic_search,challenger,stage3-cnt-exp-opportunity-opp-003-04,organic_search,organic,stage3_stage3-cnt-exp-opportunity-opp-003-04,cnt-exp-opportunity-opp-003-04_challenger,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json,https://operatorone.ai/Users/user/.openclaw/workspace/OperatorOne/workspaces/op1_product/research/landing_v1/landing_package.json?utm_id=stage3-cnt-exp-opportunity-opp-003-04&utm_source=organic_search&utm_medium=organic&utm_campaign=stage3_stage3-cnt-exp-opportunity-opp-003-04&utm_content=cnt-exp-opportunity-opp-003-04_challenger
